id,date_added,company,website,city,state,vertical,contact_name,contact_role,contact_email,email_source,fallback_route,status,initial_outreach_date,follow_up_1_date,follow_up_2_date,response_date,response_type,notes,suppressed
1,2026-04-25,The Celeste Hotel Orlando,https://thecelestehotel.com,Orlando,FL,hotel,,,info@thecelestehotel.com,thecelestehotel.com/contact-us/,,drafted,,,,,,UCF-adjacent lifestyle hotel with celestial-themed lobby art and on-site restaurant Aurora — strong fit for golden-hour room shots and dining Reels,false
2,2026-04-25,Lake Nona Wave Hotel,https://www.lakenonawavehotel.com,Orlando,FL,hotel,,,hello@lakenonawavehotel.com,lakenonawavehotel.com/contact-us,,drafted,,,,,,Tech-forward art-integrated property with wave pool and Michelin-quality dining — lobby sculptures and pool ideal for ambient lifestyle video,false
3,2026-04-25,Allora Day Spa,https://alloradayspa.com,Orlando,FL,spa,,,alloradayspa@gmail.com,alloradayspa.com/pages/contact,https://alloradayspa.com/pages/contact-us,drafted,,,,,,Lakeside downtown Orlando at 101 S Eola Drive with natural-light design — ideal for 30-second treatment-experience Reel,false
4,2026-04-25,Sufii Day Spa,https://www.sufiidayspa.com,Orlando,FL,spa,,,sufiidayspa01@gmail.com,sufiidayspa.com/contact/,@sufiidayspa_orlando,drafted,,,,,,Best of Florida 2025 winner — before/after content concept for post-theme-park recovery crowd aligns with their positioning,false
6,2026-04-25,Villatel Orlando Resort,https://villatel.com,Orlando,FL,vacation rental,,,,,https://villatel.com/contact,no-email,,,,,,New I-Drive resort adjacent to Epic Universe with 96K Instagram followers — brand building phase ideal for UGC timing,false
7,2026-04-25,Evermore Orlando Resort,https://evermoreresort.com,Orlando,FL,vacation rental,,,,,https://evermoreresort.com/partnerships,no-email,,,,,,Dedicated creator partnerships page — actively seeking UGC creators; submit through evermoreresort.com/partnerships,false
8,2026-04-25,Four Seasons Resort Orlando,https://www.fourseasons.com/orlando,Orlando,FL,hotel,,,,,https://press.fourseasons.com/content/fourseasons_pressroom/en/forms/influencer.html,no-email,,,,,,Influencer application form — submit at https://press.fourseasons.com/content/fourseasons_pressroom/en/forms/influencer.html,false
10,2026-04-25,Vistana Signature Experiences (Sheraton Vistana Villages Orlando),https://www.vistana.com,Orlando,FL,hotel,,,,,https://www.vistana.com/influencer/1000,no-email,,,,,,Influencer application form — submit at https://www.vistana.com/influencer/1000,false
11,2026-04-25,Loews Hotels at Universal Orlando,https://www.loewshotels.com,Orlando,FL,hotel,,,,,https://www.loewshotels.com/influencer-stay-request,no-email,,,,,,Influencer application form — submit at https://www.loewshotels.com/influencer-stay-request,false
13,2026-04-30,Visit Orlando,https://www.visitorlando.org,Orlando,FL,tourism board,,,,,https://www.visitorlando.org/media/contact/press-trip-request/,no-email,,,,,,Tourism board creator program — press trip request form for digital creators and media,false
14,2026-04-30,Experience Kissimmee,https://www.experiencekissimmee.com,Kissimmee,FL,tourism board,,,,,https://www.experiencekissimmee.com/media-request-form,no-email,,,,,,Tourism board creator program — dedicated media visit request form open to content creators,false
15,2026-04-30,Visit Florida,https://www.visitfloridamedia.com,Tallahassee,FL,tourism board,,,,,https://www.visitfloridamedia.com/media-resources/forms/,no-email,,,,,,Tourism board creator program — state-level FAM and press trip forms for content creators,false
16,2026-04-30,Brand USA,https://www.thebrandusa.com,Washington,DC,tourism board,,,,,https://www.thebrandusa.com/programs/influencer-co-op,no-email,,,,,,Tourism board creator program — Influencer Co-op pairs creators with US destinations; content amplified on VisitTheUSA.com,false
17,2026-04-30,Visit Space Coast,https://www.visitspacecoast.com,Cocoa,FL,tourism board,,,,,https://www.visitspacecoast.com/press-creator-trip-request-form/,no-email,,,,,,Tourism board creator program — dedicated Press & Creator Trip Request Form; 4-week advance notice required,false
18,2026-05-01,Foreigner Restaurant,https://foreignerrestaurant.com,Orlando,FL,fine-dining,,,info@foreignerrestaurant.com,foreignerrestaurant.com (FAQ and booking notes confirm email for dietary/event inquiries),,drafted,2026-05-03,,,,,Eleven-course no-menu experience in Audubon Park — chef Bruno Fonseca drives each course from arrival to reveal; immersive format ideal for dining progression content,false
19,2026-05-01,LEIAH,https://leiahrestaurant.com,Orlando,FL,fine-dining,,,reservations@leiahrestaurant.com,leiahrestaurant.com (contact/reservation details on official site),,drafted,2026-05-03,,,,,Chef Omar Torres five-course Mediterranean-American tasting menu in downtown Orlando — dim intimate room and wine pairing progression make strong full-experience content,false
20,2026-05-01,BACÁN,https://www.bacanlakenona.com,Orlando,FL,fine-dining,,,dining@lakenonawavehotel.com,bacanlakenona.com/contact (larger party/dining inquiries listed),,drafted,2026-05-03,,,,,Michelin-recommended Latin American fine dining inside Lake Nona Wave Hotel — Chef Guillaume Robin tasting menus and dramatic dining room ideal for pace-and-plating content,false
21,2026-05-01,Camille,https://camilleorlando.com,Orlando,FL,fine-dining,,,info@camilleorlando.com,camilleorlando.com (official contact listed on site),,drafted,2026-05-03,,,,,MICHELIN Guide French restaurant in Baldwin Park — 10-course Chef's Counter tasting from $195; tableside service and intimate atmosphere perfect for dining progression Reel,false
22,2026-05-01,Norman's,https://www.normans.com,Orlando,FL,fine-dining,,,info@normans.com,normans.com/contact/ (general contact listed),,drafted,2026-05-03,,,,,James Beard Award-winning Chef Norman Van Aken — New World cuisine blending Florida and Caribbean influences; decades-long Orlando institution with strong occasion-dining atmosphere,false
23,2026-05-02,ette hotel,https://ettehotels.com,Kissimmee,FL,hotel,,,atyourservice@ettehotels.com,ettehotels.com (confirmed on official site),,drafted,2026-05-03,,,,,Luxury boutique hotel near Disney with Michelin Star Chef Akira Back on-site dining — minimalist art-forward rooms and pool with custom soundscapes ideal for arrival-to-evening content,false
24,2026-05-02,The Alfond Inn,https://thealfondinn.com,Winter Park,FL,hotel,,,,,https://thealfondinn.com/press-room,no-email,,,,,,Rollins College-owned boutique art hotel on Park Avenue — rotating gallery of 400+ artworks and spa; press inquiries go through PR firm at thealfondinn.com/press-room,false
25,2026-05-02,Sanctuary Salon & Med Spa,https://www.sanctuarysalondayspa.com,Orlando,FL,spa,,,info@sanctuarysalonmedspa.com,sanctuarysalondayspa.com/contact-us/ (email listed on contact page),,drafted,2026-05-03,,,,,Full-service med spa and salon with luxe treatment menu — private treatment rooms and curated product displays strong for slow ritual-to-reveal wellness content,false
26,2026-05-02,The Spa at The Alfond Inn,https://thealfondinn.com/the-spa,Winter Park,FL,spa,,,spa@thealfondinn.com,thealfondinn.com/the-spa (spa contact confirmed),,drafted,2026-05-03,,,,,Winter Park boutique spa connected to landmark art hotel — natural-light treatment rooms and spa café create calm sensory flow ideal for paced ritual content,false
27,2026-05-02,Sailing Orlando,https://sailingorlando.com,Orlando,FL,vip-experience,,,info@sailingorlando.com,sailingorlando.com (contact listed on official site),,drafted,2026-05-03,,,,,Central Florida's only dedicated sailing tour on Lake Fairview — private sunset and day tours ideal for golden-hour on-water content with motion and atmosphere,false
28,2026-05-03,Gatorland,https://www.gatorland.com,Orlando,FL,attraction,,,CustomerService@Gatorland.com,gatorland.com/contact-us/ (email on official contact page),,drafted,2026-05-03,,,,,Florida's Alligator Capital with Screamin' Gator Zip Line 1200ft above live gators — aerial perspective plus ground-level wildlife encounters creates unique premium adventure arc,false
29,2026-05-03,Elite Orlando VIP Tours,https://eliteorlandoviptours.com,Orlando,FL,vip-experience,,,chris@eliteorlandoviptours.com,eliteorlandoviptours.com (founder contact listed on official site),,drafted,2026-05-03,,,,,Private full-day VIP guide service for Disney and Universal — behind-the-scenes access and custom itinerary feel rare from inside; strong access-and-anticipation content angle,false
30,2026-05-03,Wild Florida,https://www.wildfloridairboats.com,Kenansville,FL,attraction,,,reservations@wildfl.com,wildfloridairboats.com/contact-us (reservations email on contact page),,drafted,2026-05-03,,,,,85-acre Drive-thru Safari plus airboat tours near Orlando — wide-open landscape and proximity wildlife create premium outdoor Florida experience arc,false
31,2026-05-03,KRES Chophouse,https://www.kresrestaurant.com,Orlando,FL,fine-dining,,,,,https://www.kresrestaurant.com/contact/,no-email,,,,,,Downtown Orlando historic chophouse with private dining and chef's table — contact page available at kresrestaurant.com/contact/ but no public email confirmed,false
32,2026-05-03,Grand Bohemian Hotel Orlando,https://www.kesslercollection.com/bohemian-orlando/,Orlando,FL,hotel,,,,,https://www.kesslercollection.com/bohemian-orlando/contact-us/,no-email,,,,,,Arts District boutique hotel with rooftop pool and gallery-quality art collection — contact form at kesslercollection.com/bohemian-orlando/contact-us/ but no public general email confirmed,false
